Product_Id,Product_Name,Country_Name,Max_Quantity,Price
1,Apple,Curacao,100,20.30
2,Mango,Equatorial Guinea,10,100.00
3,Orange,Bangladesh,100,15.45
4,Banana,Bolivia,100,43.20
5,Watermelon,Burkina Faso,100,500.00
6,tomato,Brazil,100,42.45
7,potato,Curacao,100,23.45
8,Onion,Antarctica,100,233.00
9,Cucumber,Egypt,100,43.44
10,Tea,Aruba,100,12.90
11,Milk,Burkina Faso,100,12.55
12,Soda,Bonaire,100,433.00
13,Coffee,Croatia,100,54.00
14,Wine,Antarctica,100,234.00
15,Potato chips,Barbados,100,452.00
16,Popcorn,Brazil,100,563.00
17,Banana chips,Barbados,100,56.00
18,Cheese,Ivory Coast,100,223.00
19,Ice cream,Equatorial Guinea,100,55.22
21,carrot,Aruba,10,55.22
