Product_Id,Product_Name,Country_Name,Max_Quantity,Price
1,Apple,Curacao,200,150
2,Mango,Equatorial Guinea,100,80.1
3,Orange,Bangladesh,100,301
4,Banana,Bolivia,100,134
5,Watermelon,Burkina Faso,100,210
6,tomato,Brazil,100,100
7,potato,Curacao,100,23.45
8,Onion,Antarctica,100,234
9,Cucumber,Egypt,100,45.11
10,Tea,Aruba,100,11.1
11,Milk,Burkina Faso,100,23.11
12,Soda,Bonaire,100,110
13,Coffee,Croatia,100,45.1
14,Wine,Antarctica,100,12
15,Potato chips,Barbados,100,11
16,Popcorn,Brazil,100,203
17,Banana chips,Barbados,100,40
18,Cheese,Ivory Coast,100,34
19,Ice cream,Equatorial Guinea,100,56
21,carrot,Aruba,10,55.22
